keys,es,en,it,fr,de,pt
ui.label,Label,Label,Label,Label,Label,Label
ui.label.number,0,0,0,0,0,0
ui.button.play,Jugar,Play,Gioca,Jouer,Spielen,Jogar
ui.button.continue,Continuar,Continue,Continua,Continuer,Weiter,Continuar
ui.button.cancel,Cancelar,Cancel,Annulla,Annuler,Abbrechen,Cancelar
ui.button.confirm,Confirmar,Confirm,Conferma,Confirmer,Bestätigen,Confirmar
ui.button.close,Cerrar,Close,Chiudi,Fermer,Schließen,Fechar
ui.button.retry,Reintentar,Retry,Riprova,Réessayer,Erneut versuchen,Tentar de novo
ui.button.exit,Salir,Exit,Esci,Quitter,Beenden,Sair
ui.button.next,Siguiente,Next,Avanti,Suivant,Weiter,Próximo
ui.button.skip,Saltar,Skip,Salta,Passer,Überspringen,Pular
ui.button.buy,Comprar,Buy,Acquista,Acheter,Kaufen,Comprar
ui.button.claim,Reclamar,Claim,Riscatta,Réclamer,Einlösen,Resgatar
ui.button.share,Compartir,Share,Condividi,Partager,Teilen,Compartilhar
ui.settings.title,Ajustes,Settings,Impostazioni,Paramètres,Einstellungen,Ajustes
ui.settings.section.preferences,Preferencias del juego,Game preferences,Preferenze di gioco,Préférences du jeu,Spieleinstellungen,Preferências do jogo
ui.settings.section.account,Cuenta y asistencia,Account & support,Account e supporto,Compte et assistance,Konto & Hilfe,Conta e suporte
ui.settings.section.community,Comunidad,Community,Comunità,Communauté,Community,Comunidade
ui.settings.section.legal,Legal,Legal,Legale,Légal,Rechtliches,Legal
ui.settings.audio.music,Música,Music,Musica,Musique,Musik,Música
ui.settings.audio.sound,Sonidos,Sounds,Suoni,Sons,Sounds,Sons
ui.settings.audio.music_volume,Volumen Música,Music Volume,Volume Musica,Volume Musique,Musiklautstärke,Volume Música
ui.settings.audio.sound_volume,Volumen Sonidos,Sound Volume,Volume Suoni,Volume Sons,Lautstärke Sounds,Volume Sons
ui.settings.vibration,Vibración,Vibration,Vibrazione,Vibration,Vibration,Vibração
ui.settings.profile,Perfil,Profile,Profilo,Profil,Profil,Perfil
ui.settings.subscription,Suscripción,Subscription,Abbonamento,Abonnement,Abo,Assinatura
ui.settings.howtoplay,Cómo jugar,How to play,Come si gioca,Comment jouer,Spielanleitung,Como jogar
ui.settings.language,Idioma,Language,Lingua,Langue,Sprache,Idioma
ui.settings.theme,Tema,Theme,Tema,Thème,Design,Tema
ui.settings.theme.light,Modo Arrecife,Reef Mode,Modalità Barriera,Mode Récif,Riffmodus,Modo Recife
ui.settings.theme.dark,Modo Profundidades,Deep Mode,Modalità Abisso,Mode Abysse,Tiefenmodus,Modo Profundezas
ui.settings.theme.auto,Automático,Automatic,Automatico,Automatique,Automatisch,Automático
ui.settings.help,Ayuda,Help,Aiuto,Aide,Hilfe,Ajuda
ui.settings.restore_purchases,Restaurar compras,Restore purchases,Ripristina acquisti,Restaurer les achats,Käufe wiederherstellen,Restaurar compras
ui.settings.community.rate,Valorar la app,Rate the app,Valuta l'app,Noter l'app,App bewerten,Avaliar o app
ui.settings.community.share,Compartir,Share,Condividi,Partager,Teilen,Compartilhar
ui.settings.community.social,Redes sociales,Social media,Social media,Réseaux sociaux,Soziale Medien,Redes sociais
ui.settings.community.website,Sitio web,Website,Sito web,Site web,Webseite,Site
ui.settings.legal.privacy,Política de privacidad,Privacy policy,Privacy policy,Politique de confidentialité,Datenschutz,Política de privacidade
ui.settings.legal.terms,Condiciones del servicio,Terms of service,Termini di servizio,Conditions d'utilisation,AGB,Termos de serviço
ui.gameplay.shots_remaining,Disparos,Shots,Colpi,Tirs,Schüsse,Tiros
